Collision detected: CollisionEvent(frame=112304, timestamp=2016.693211, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112304, timestamp=2016.693211, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112305, timestamp=2016.710477, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112305, timestamp=2016.710477, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112306, timestamp=2016.727331, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112306, timestamp=2016.727331, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112307, timestamp=2016.744440, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112307, timestamp=2016.744440, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112308, timestamp=2016.762435, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112308, timestamp=2016.762435, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112309, timestamp=2016.780329, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112309, timestamp=2016.780329, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112310, timestamp=2016.798370, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112310, timestamp=2016.798370, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112311, timestamp=2016.816356, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112311, timestamp=2016.816356, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112312, timestamp=2016.834680, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112312, timestamp=2016.834680, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112313, timestamp=2016.853153, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112313, timestamp=2016.853153, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112314, timestamp=2016.871400, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112314, timestamp=2016.871400, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112315, timestamp=2016.889972, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112315, timestamp=2016.889972, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112316, timestamp=2016.907809, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112316, timestamp=2016.907809, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112317, timestamp=2016.928185, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112317, timestamp=2016.928185, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112318, timestamp=2016.957684, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112318, timestamp=2016.957684, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112319, timestamp=2016.982334, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112319, timestamp=2016.982334, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112320, timestamp=2017.006315, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112320, timestamp=2017.006315, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112321, timestamp=2017.026578, other_actor=0000012136CC8BA0)
