LidarMeasurement(frame=112043, timestamp=2011.804653, number_of_points=549)
LidarMeasurement(frame=112044, timestamp=2011.823653, number_of_points=527)
LidarMeasurement(frame=112045, timestamp=2011.845040, number_of_points=641)
LidarMeasurement(frame=112046, timestamp=2011.864481, number_of_points=607)
LidarMeasurement(frame=112047, timestamp=2011.883440, number_of_points=472)
LidarMeasurement(frame=112048, timestamp=2011.901856, number_of_points=515)
LidarMeasurement(frame=112049, timestamp=2011.921393, number_of_points=552)
LidarMeasurement(frame=112050, timestamp=2011.941337, number_of_points=592)
LidarMeasurement(frame=112051, timestamp=2011.961041, number_of_points=593)
LidarMeasurement(frame=112052, timestamp=2011.980323, number_of_points=503)
LidarMeasurement(frame=112053, timestamp=2011.999525, number_of_points=582)
LidarMeasurement(frame=112054, timestamp=2012.024091, number_of_points=626)
LidarMeasurement(frame=112055, timestamp=2012.046223, number_of_points=654)
LidarMeasurement(frame=112056, timestamp=2012.074426, number_of_points=771)
LidarMeasurement(frame=112057, timestamp=2012.102119, number_of_points=818)
LidarMeasurement(frame=112058, timestamp=2012.128766, number_of_points=750)
LidarMeasurement(frame=112059, timestamp=2012.150989, number_of_points=650)
LidarMeasurement(frame=112060, timestamp=2012.172976, number_of_points=596)
LidarMeasurement(frame=112061, timestamp=2012.194574, number_of_points=635)
LidarMeasurement(frame=112062, timestamp=2012.215848, number_of_points=570)
LidarMeasurement(frame=112063, timestamp=2012.238545, number_of_points=652)
LidarMeasurement(frame=112064, timestamp=2012.259420, number_of_points=631)
LidarMeasurement(frame=112065, timestamp=2012.281473, number_of_points=609)
LidarMeasurement(frame=112066, timestamp=2012.303822, number_of_points=653)
LidarMeasurement(frame=112067, timestamp=2012.325031, number_of_points=571)
LidarMeasurement(frame=112068, timestamp=2012.348733, number_of_points=695)
LidarMeasurement(frame=112069, timestamp=2012.370250, number_of_points=602)
LidarMeasurement(frame=112070, timestamp=2012.394433, number_of_points=664)
LidarMeasurement(frame=112071, timestamp=2012.419008, number_of_points=691)
LidarMeasurement(frame=112072, timestamp=2012.440317, number_of_points=610)
LidarMeasurement(frame=112073, timestamp=2012.459430, number_of_points=551)
LidarMeasurement(frame=112074, timestamp=2012.478262, number_of_points=495)
LidarMeasurement(frame=112075, timestamp=2012.499140, number_of_points=659)
LidarMeasurement(frame=112076, timestamp=2012.520663, number_of_points=606)
LidarMeasurement(frame=112077, timestamp=2012.540379, number_of_points=601)
LidarMeasurement(frame=112078, timestamp=2012.560405, number_of_points=594)
LidarMeasurement(frame=112079, timestamp=2012.580578, number_of_points=493)
LidarMeasurement(frame=112080, timestamp=2012.600307, number_of_points=614)
LidarMeasurement(frame=112081, timestamp=2012.621088, number_of_points=566)
LidarMeasurement(frame=112082, timestamp=2012.641375, number_of_points=585)
LidarMeasurement(frame=112083, timestamp=2012.660386, number_of_points=594)
