RadarMeasurement(frame=112082, timestamp=2012.641375, point_count=23)
RadarMeasurement(frame=112083, timestamp=2012.660386, point_count=25)
RadarMeasurement(frame=112084, timestamp=2012.679304, point_count=18)
RadarMeasurement(frame=112085, timestamp=2012.697932, point_count=20)
RadarMeasurement(frame=112086, timestamp=2012.718123, point_count=24)
RadarMeasurement(frame=112087, timestamp=2012.737616, point_count=18)
RadarMeasurement(frame=112088, timestamp=2012.756682, point_count=17)
RadarMeasurement(frame=112089, timestamp=2012.775550, point_count=16)
RadarMeasurement(frame=112090, timestamp=2012.794810, point_count=18)
RadarMeasurement(frame=112091, timestamp=2012.814128, point_count=19)
RadarMeasurement(frame=112092, timestamp=2012.832913, point_count=20)
RadarMeasurement(frame=112093, timestamp=2012.851904, point_count=19)
RadarMeasurement(frame=112094, timestamp=2012.872363, point_count=24)
RadarMeasurement(frame=112095, timestamp=2012.892289, point_count=24)
RadarMeasurement(frame=112096, timestamp=2012.915894, point_count=22)
RadarMeasurement(frame=112097, timestamp=2012.937392, point_count=23)
RadarMeasurement(frame=112098, timestamp=2012.956579, point_count=18)
RadarMeasurement(frame=112099, timestamp=2012.976504, point_count=19)
RadarMeasurement(frame=112100, timestamp=2012.994115, point_count=13)
RadarMeasurement(frame=112101, timestamp=2013.013846, point_count=20)
RadarMeasurement(frame=112102, timestamp=2013.031495, point_count=14)
RadarMeasurement(frame=112103, timestamp=2013.048923, point_count=20)
RadarMeasurement(frame=112104, timestamp=2013.066113, point_count=14)
RadarMeasurement(frame=112105, timestamp=2013.084010, point_count=10)
RadarMeasurement(frame=112106, timestamp=2013.101233, point_count=15)
RadarMeasurement(frame=112107, timestamp=2013.118830, point_count=18)
RadarMeasurement(frame=112108, timestamp=2013.135757, point_count=19)
RadarMeasurement(frame=112109, timestamp=2013.153062, point_count=16)
RadarMeasurement(frame=112110, timestamp=2013.169692, point_count=14)
RadarMeasurement(frame=112111, timestamp=2013.186078, point_count=13)
RadarMeasurement(frame=112112, timestamp=2013.203607, point_count=18)
RadarMeasurement(frame=112113, timestamp=2013.220969, point_count=18)
RadarMeasurement(frame=112114, timestamp=2013.238934, point_count=17)
RadarMeasurement(frame=112115, timestamp=2013.255876, point_count=13)
RadarMeasurement(frame=112116, timestamp=2013.272988, point_count=20)
RadarMeasurement(frame=112117, timestamp=2013.289968, point_count=16)
RadarMeasurement(frame=112118, timestamp=2013.307041, point_count=16)
RadarMeasurement(frame=112119, timestamp=2013.323967, point_count=18)
RadarMeasurement(frame=112120, timestamp=2013.341068, point_count=18)
RadarMeasurement(frame=112121, timestamp=2013.358548, point_count=19)
RadarMeasurement(frame=112122, timestamp=2013.375720, point_count=14)
RadarMeasurement(frame=112123, timestamp=2013.392615, point_count=13)
RadarMeasurement(frame=112124, timestamp=2013.411028, point_count=13)
RadarMeasurement(frame=112125, timestamp=2013.429352, point_count=14)
RadarMeasurement(frame=112126, timestamp=2013.446934, point_count=16)
RadarMeasurement(frame=112127, timestamp=2013.475200, point_count=29)
RadarMeasurement(frame=112128, timestamp=2013.492637, point_count=19)
RadarMeasurement(frame=112129, timestamp=2013.509223, point_count=15)
RadarMeasurement(frame=112130, timestamp=2013.527588, point_count=23)
RadarMeasurement(frame=112131, timestamp=2013.545518, point_count=15)
RadarMeasurement(frame=112132, timestamp=2013.562977, point_count=18)
RadarMeasurement(frame=112133, timestamp=2013.581355, point_count=13)
RadarMeasurement(frame=112134, timestamp=2013.599132, point_count=17)
RadarMeasurement(frame=112135, timestamp=2013.618120, point_count=17)
RadarMeasurement(frame=112136, timestamp=2013.638602, point_count=17)
RadarMeasurement(frame=112137, timestamp=2013.659020, point_count=22)
RadarMeasurement(frame=112138, timestamp=2013.678212, point_count=20)
RadarMeasurement(frame=112139, timestamp=2013.698897, point_count=21)
RadarMeasurement(frame=112140, timestamp=2013.724972, point_count=24)
RadarMeasurement(frame=112141, timestamp=2013.749391, point_count=22)
RadarMeasurement(frame=112142, timestamp=2013.769306, point_count=16)
RadarMeasurement(frame=112143, timestamp=2013.787193, point_count=19)
RadarMeasurement(frame=112144, timestamp=2013.804794, point_count=21)
RadarMeasurement(frame=112145, timestamp=2013.822037, point_count=17)
RadarMeasurement(frame=112146, timestamp=2013.838470, point_count=10)
RadarMeasurement(frame=112147, timestamp=2013.855155, point_count=18)
RadarMeasurement(frame=112148, timestamp=2013.871889, point_count=15)
RadarMeasurement(frame=112149, timestamp=2013.888966, point_count=16)
RadarMeasurement(frame=112150, timestamp=2013.906499, point_count=18)
RadarMeasurement(frame=112151, timestamp=2013.923866, point_count=19)
RadarMeasurement(frame=112152, timestamp=2013.941763, point_count=15)
RadarMeasurement(frame=112153, timestamp=2013.960440, point_count=17)
RadarMeasurement(frame=112154, timestamp=2013.977854, point_count=19)
RadarMeasurement(frame=112155, timestamp=2013.995042, point_count=14)
RadarMeasurement(frame=112156, timestamp=2014.013035, point_count=15)
RadarMeasurement(frame=112157, timestamp=2014.033977, point_count=17)
RadarMeasurement(frame=112158, timestamp=2014.051223, point_count=17)
RadarMeasurement(frame=112159, timestamp=2014.067873, point_count=15)
RadarMeasurement(frame=112160, timestamp=2014.084904, point_count=11)
RadarMeasurement(frame=112161, timestamp=2014.101906, point_count=16)
RadarMeasurement(frame=112162, timestamp=2014.120496, point_count=19)
RadarMeasurement(frame=112163, timestamp=2014.137693, point_count=12)
RadarMeasurement(frame=112164, timestamp=2014.155913, point_count=14)
RadarMeasurement(frame=112165, timestamp=2014.173777, point_count=18)
RadarMeasurement(frame=112166, timestamp=2014.191870, point_count=14)
RadarMeasurement(frame=112167, timestamp=2014.210095, point_count=22)
RadarMeasurement(frame=112168, timestamp=2014.227929, point_count=16)
RadarMeasurement(frame=112169, timestamp=2014.244870, point_count=16)
RadarMeasurement(frame=112170, timestamp=2014.262835, point_count=10)
RadarMeasurement(frame=112171, timestamp=2014.280059, point_count=13)
RadarMeasurement(frame=112172, timestamp=2014.298286, point_count=12)
RadarMeasurement(frame=112173, timestamp=2014.316464, point_count=19)
RadarMeasurement(frame=112174, timestamp=2014.343347, point_count=25)
RadarMeasurement(frame=112175, timestamp=2014.361920, point_count=12)
RadarMeasurement(frame=112176, timestamp=2014.379771, point_count=20)
RadarMeasurement(frame=112177, timestamp=2014.398065, point_count=18)
RadarMeasurement(frame=112178, timestamp=2014.416860, point_count=22)
RadarMeasurement(frame=112179, timestamp=2014.434906, point_count=16)
RadarMeasurement(frame=112180, timestamp=2014.453877, point_count=19)
